###########################################################################################
# VRS(N2/O2) correction spectra
#
# VRS (N2/O2) correction spectra, calculated from a solar atlas by [Chance and Kurucz 2010].
# The spectra were interpolated to a common wavelength grid with a spectral resolution of 0.01nm.
#  
#
# Columns:
# 1: Vacuum wavelengths [nm]
# 2: solar Intensity [Watts m-2 nm-1]
# 3: VRS scattered light intensity averaged over the complete phase function for one molecule of N2
# 4: VRS scattered light intensity averaged over the complete phase function for one molecule of O2
#
# To use these spectra, convolute both, the solar intensity and the VRS scattered light intensity
# with the instrument slit function. Then divide the convoluted VRS scattered light intensity by the
# convoluted solar spectrum.
#
# 
# Supplement file of Lampel et al., Atmos. Meas. Tech., 2015, "The impact of vibrational Raman scattering of air on DOAS measurements of atmospheric trace gases"
###########################################################################################

N2 and O2 VRS Spectrum
Unknown Units

  250.00   1.000000E+00   380.0000000000   500.0000000000   12001

  3.8063000e+002  1.2750300e+000  2.0069248e-029  2.7763280e-029
  3.8064000e+002  1.1442200e+000  1.8238763e-029  2.5596563e-029
  3.8065000e+002  1.1613200e+000  1.7431052e-029  2.3878541e-029
  3.8066000e+002  1.3198500e+000  1.6879732e-029  2.3262547e-029
  3.8067000e+002  1.5196300e+000  1.5744237e-029  2.3545061e-029
  3.8068000e+002  1.6691900e+000  1.4186608e-029  2.3975586e-029
  3.8069000e+002  1.7321700e+000  1.3156019e-029  2.3891370e-029
  3.8070000e+002  1.6948300e+000  1.3372483e-029  2.2917015e-029
  3.8071000e+002  1.5566600e+000  1.4658291e-029  2.0842121e-029
  3.8072000e+002  1.3685600e+000  1.6167057e-029  1.7727831e-029
  3.8073000e+002  1.2215400e+000  1.7218411e-029  1.4227133e-029
  3.8074000e+002  1.1630500e+000  1.7847737e-029  1.1574475e-029
  3.8075000e+002  1.1500600e+000  1.8448380e-029  1.0962799e-029
  3.8076000e+002  1.1034600e+000  1.9076481e-029  1.2748229e-029
  3.8077000e+002  1.0047600e+000  1.9265333e-029  1.6190247e-029
  3.8078000e+002  9.2303600e-001  1.8509798e-029  1.9966929e-029
  3.8079000e+002  9.1959000e-001  1.6911311e-029  2.3028881e-029
  3.8080000e+002  9.5466200e-001  1.5214331e-029  2.5133865e-029
  3.8081000e+002  9.4908200e-001  1.4074543e-029  2.6698324e-029
  3.8082000e+002  9.0374900e-001  1.3519473e-029  2.8141378e-029
  3.8083000e+002  8.7834300e-001  1.3221883e-029  2.9333238e-029
  3.8084000e+002  8.8669200e-001  1.3114981e-029  2.9642403e-029
